productName,productCost,productImage,CategoryID,productQuantity
Wireless Mouse,15.99,../../productsImage/mouse.jpg,3,100
Mechanical Keyboard,49.99,../../productsImage/keyboard.jpg,3,50
USB-C Charger,25.00,../../productsImage/charger.jpg,3,200
External Hard Drive,89.99,../../productsImage/harddrive.jpg,3,75
Gaming Headset,79.99,../../productsImage/headset.jpg,3,120
Portable Speaker,35.99,../../productsImage/speaker.jpg,3,150
Smartphone Stand,10.99,../../productsImage/stand.jpg,3,300
Webcam,69.99,../../productsImage/webcam.jpg,3,80
LED Desk Lamp,22.50,../../productsImage/desklamp.jpg,3,90
HDMI Cable,8.99,../../productsImage/hdmi.jpg,3,400
